Author,Genre,,,,,,
John Milton,Poetry,,,,,,
William Shakespeare,Poetry,,,,,,
Pablo Neruda,Poetry,,,,,,
T.S. Eliot,Poetry,,,,,,
Charles Baudelaire,Poetry,,,,,,
Edgar Allan Poe,Poetry,,,,,,
Claudia Rankine,Poetry,,,,,,
William Blake,Poetry,,,,,,
Robert Frost,Poetry,,,,,,
Nayyirah Waheed,Poetry,,,,,,
W.B. Yeats,Poetry,,,,,,
Dante Alighieri,Poetry,,,,,,
Richard Siken,Poetry,,,,,,
Lang Leav,Poetry,,,,,,
Samuel Taylor Coleridge,Poetry,,,,,,
Jacqueline Woodson,Poetry,,,,,,
Elizabeth Acevedo,Poetry,,,,,,
Warsan Shire,Poetry,,,,,,
Rumi,Poetry,,,,,,
Ocean Vuong,Poetry,,,,,,
Sarah Kay,Poetry,,,,,,
E.E. Cummings,Poetry,,,,,,
Mary Oliver,Poetry,,,,,,
Anne Carson,Poetry,,,,,,
Virgil,Poetry,,,,,,
Geoffrey Chaucer,Poetry,,,,,,
Anne Sexton,Poetry,,,,,,
Rainer Maria Rilke,Poetry,,,,,,
John Keats,Poetry,,,,,,
Christopher Hitchens,Religion,,,,,,
Karen Armstrong,Religion,,,,,,
Reza Aslan,Religion,,,,,,
Sam Harris,Religion,,,,,,
Krishna-Dwaipayana Vyasa,Religion,,,,,,
Augustine of Hippo,Religion,,,,,,
Bart D. Ehrman,Religion,,,,,,
A.J. Jacobs,Religion,,,,,,
William Paul Young,Religion,,,,,,
Lawrence Wright,Religion,,,,,,
Elaine Pagels,Religion,,,,,,
William James,Religion,,,,,,
John Bunyan,Religion,,,,,,
Ayaan Hirsi Ali,Religion,,,,,,
Daniel C. Dennett,Religion,,,,,,
Huston Smith,Religion,,,,,,
Robert Wright,Religion,,,,,,
Lee Strobel,Religion,,,,,,
G.K. Chesterton,Religion,,,,,,
Rick Warren,Religion,,,,,,
Donald Miller,Religion,,,,,,
Todd Burpo,Religion,,,,,,
Carl Sagan,Science,,,,,,
Neil deGrasse Tyson,Science,,,,,,
Charles Darwin,Science,,,,,,
Brian Greene,Science,,,,,,
Sam Kean,Science,,,,,,
Siddhartha Mukherjee,Science,,,,,,
Elizabeth Kolbert,Science,,,,,,
Douglas R. Hofstadter,Science,,,,,,
Michio Kaku,Science,,,,,,
Carlo Rovelli,Science,,,,,,
Ben Goldacre,Science,,,,,,
Thomas S. Kuhn,Science,,,,,,
James Gleick,Science,,,,,,
Matt Ridley,Science,,,,,,
Lawrence M. Krauss,Science,,,,,,
Richard Preston,Science,,,,,,
Neil Shubin,Science,,,,,,
Ed Yong,Science,,,,,,
Hope Jahren,Science,,,,,,
Albert Einstein,Science,,,,,,
Orson Scott Card,Science fiction,,,,,,
Frank Herbert,Science fiction,,,,,,
Andy Weir,Science fiction,,,,,,
Ernest Cline,Science fiction,,,,,,
Isaac Asimov,Science fiction,,,,,,
Philip K. Dick,Science fiction,,,,,,
H.G. Wells,Science fiction,,,,,,
William Gibson,Science fiction,,,,,,
Veronica Roth,Science fiction,,,,,,
Robert A. Heinlein,Science fiction,,,,,,
Michael Crichton,Science fiction,,,,,,
Arthur C. Clarke,Science fiction,,,,,,
Marissa Meyer,Science fiction,,,,,,
James S.A. Corey,Science fiction,,,,,,
Dan Simmons,Science fiction,,,,,,
Neal Stephenson,Science fiction,,,,,,
Ursula K. Le Guin,Science fiction,,,,,,
John Scalzi,Science fiction,,,,,,
Pierce Brown,Science fiction,,,,,,
Joe Haldeman,Science fiction,,,,,,
James Dashner,Science fiction,,,,,,
Liu Cixin,Science fiction,,,,,,
Blake Crouch,Science fiction,,,,,,
Ann Leckie,Science fiction,,,,,,
A.J. Finn,Suspense,,,,,,
S.J. Watson,Suspense,,,,,,
Ruth Ware,Suspense,,,,,,
B.A. Paris,Suspense,,,,,,
Daphne du Maurier,Suspense,,,,,,
John Grisham,Suspense,,,,,,
Dennis Lehane,Suspense,,,,,,
Shari Lapena,Suspense,,,,,,
Robin Waterfield,Suspense,,,,,,
Robert Ludlum,Suspense,,,,,,
Greer Hendricks,Suspense,,,,,,
Mary Kubica,Suspense,,,,,,
J.D. Robb,Suspense,,,,,,
Alex Michaelides,Suspense,,,,,,
Tom Clancy,Suspense,,,,,,
William Landay,Suspense,,,,,,
Alice Feeney,Suspense,,,,,,
Eckhart Tolle,Spirituality,,,,,,
Miguel Ruiz,Spirituality,,,,,,
Dalai Lama XIV,Spirituality,,,,,,
Michael A. Singer,Spirituality,,,,,,
James Redfield,Spirituality,,,,,,
Paramahansa Yogananda,Spirituality,,,,,,
Pema Chodron,Spirituality,,,,,,
Shunryu Suzuki,Spirituality,,,,,,
Rhonda Byrne,Spirituality,,,,,,
Jon Kabat-Zinn,Spirituality,,,,,,
Thich Nhat Hanh,Spirituality,,,,,,
Deepak Chopra,Spirituality,,,,,,
Ram Dass,Spirituality,,,,,,
Richard Bach,Spirituality,,,,,,
Neale Donald Walsch,Spirituality,,,,,,
Anne Lamott,Spirituality,,,,,,
M. Scott Peck,Spirituality,,,,,,
Clarissa Pinkola Estes,Spirituality,,,,,,
Dan Millman,Spirituality,,,,,,
Carlos Castaneda,Spirituality,,,,,,
Caroline Myss,Spirituality,,,,,,
Marianne Williamson,Spirituality,,,,,,
Gary Zukav,Spirituality,,,,,,
Tara Brach,Spirituality,,,,,,
Richard Rohr,Spirituality,,,,,,
Brian L. Weiss,Spirituality,,,,,,
Christopher McDougall,Sports,,,,,,
H.G. Bissinger,Sports,,,,,,
Kwame Alexander,Sports,,,,,,
Bill Simmons,Sports,,,,,,
Andre Agassi,Sports,,,,,,
Jim Bouton,Sports,,,,,,
Chad Harbach,Sports,,,,,,
Jason Reynolds,Sports,,,,,,
Fredrik Backman,Sports,,,,,,
Nick Hornby,Sports,,,,,,
Roger Kahn,Sports,,,,,,
Simon Kuper,Sports,,,,,,
James Andrew Miller,Sports,,,,,,
Rolf Potts,Travel,,,,,,
Frances Mayes,Travel,,,,,,
Peter Mayle,Travel,,,,,,
Jack Kerouac,Travel,,,,,,
Paul Theroux,Travel,,,,,,
Eric Weiner,Travel,,,,,,
Patricia Schultz,Travel,,,,,,
Bruce Chatwin,Travel,,,,,,
Patrick Leigh Fermor,Travel,,,,,,
Rita Golden Gelman,Travel,,,,,,
Alice Steinbach,Travel,,,,,,
Tony Hawks,Travel,,,,,,
Mark Adams,Travel,,,,,,
J. Maarten Troost,Travel,,,,,,
Heinrich Harrer,Travel,,,,,,
Joshua Foer,Travel,,,,,,
Roz Hopkins,Travel,,,,,,
Sarah MacDonald,Travel,,,,,,
Peter Matthiessen,Travel,,,,,,
Rory Stewart,Travel,,,,,,
Ernesto Che Guevara,Travel,,,,,,
Eric Newby,Travel,,,,,,
Thor Heyerdahl,Travel,,,,,,
Robyn Davidson,Travel,,,,,,
Jennifer Baggett,Travel,,,,,,
Greg Mortenson,Travel,,,,,,
Stephen Chbosky,Young adult,,,,,,
Rainbow Rowell,Young adult,,,,,,
Jay Asher,Young adult,,,,,,
Ransom Riggs,Young adult,,,,,,
Ally Condie,Young adult,,,,,,
Scott Westerfeld,Young adult,,,,,,
Laurie Halse Anderson,Young adult,,,,,,
Angie Thomas,Young adult,,,,,,
Kiera Cass,Young adult,,,,,,
Laini Taylor,Young adult,,,,,,
E. Lockhart,Young adult,,,,,,
Maggie Stiefvater,Young adult,,,,,,
S.E. Hinton,Young adult,,,,,,
Richelle Mead,Young adult,,,,,,
Lauren Oliver,Young adult,,,,,,
